id,date,politicianId,party,leaning,emi_w2vparliament
ID1807804200,2015-01-14,11004018.0,CDU/CSU,middle,-0.794022
ID1807804300,2015-01-14,11004382.0,CDU/CSU,middle,-1.593067
ID1807908500,2015-01-15,11003888.0,Alliance 90/The Greens,middle,1.575236
ID1808001100,2015-01-16,11003756.0,Alliance 90/The Greens,middle,0.981187
ID1808000200,2015-01-16,11004053.0,The Left Party,left,2.178007
ID1808100800,2015-01-28,11004304.0,CDU/CSU,middle,-0.140695
ID1808205700,2015-01-29,11004018.0,CDU/CSU,middle,-0.665636
ID1808505000,2015-02-05,11004114.0,The Left Party,left,-0.851043
ID1808502600,2015-02-05,11003888.0,Alliance 90/The Greens,middle,-0.425072
ID1808509200,2015-02-05,11004114.0,The Left Party,left,-0.921444
ID1808508200,2015-02-05,11004393.0,SPD,middle,1.72778
ID1808505500,2015-02-05,11004018.0,CDU/CSU,middle,-0.577484
ID1808810100,2015-02-26,11003586.0,CDU/CSU,middle,2.183645
ID1808809900,2015-02-26,11003888.0,Alliance 90/The Greens,middle,0.523999
ID1808809300,2015-02-26,11004053.0,The Left Party,left,0.819391
ID1808802200,2015-02-26,11004114.0,The Left Party,left,0.084116
ID1808907500,2015-02-27,11004298.0,CDU/CSU,middle,-0.094499
ID1808904400,2015-02-27,11004304.0,CDU/CSU,middle,0.867447
ID1808905600,2015-02-27,11004336.0,CDU/CSU,middle,2.065917
ID1808905800,2015-02-27,11003586.0,CDU/CSU,middle,0.70571
ID1809003200,2015-03-04,11004053.0,The Left Party,left,0.65803
ID1809100700,2015-03-05,11004261.0,SPD,middle,2.353339
ID1809106700,2015-03-05,11004053.0,The Left Party,left,1.859039
ID1809110500,2015-03-05,11004304.0,CDU/CSU,middle,2.687576
ID1809106100,2015-03-05,11003888.0,Alliance 90/The Greens,middle,0.909311
ID1809100500,2015-03-05,11003602.0,CDU/CSU,middle,1.562511
ID1809109200,2015-03-05,11003578.0,Alliance 90/The Greens,middle,0.677382
ID1809109500,2015-03-05,11004389.0,SPD,middle,0.879386
ID1809112200,2015-03-05,11003578.0,Alliance 90/The Greens,middle,0.986576
ID1809107800,2015-03-05,11003578.0,Alliance 90/The Greens,middle,1.300982
ID1809107000,2015-03-05,11004382.0,CDU/CSU,middle,1.291238
ID1809108000,2015-03-05,11004389.0,SPD,middle,1.334071
ID1809204900,2015-03-06,11004393.0,SPD,middle,-0.918756
ID1809202100,2015-03-06,11004114.0,The Left Party,left,-0.66186
ID1809204100,2015-03-06,11003602.0,CDU/CSU,middle,-0.693338
ID1809202500,2015-03-06,11004393.0,SPD,middle,1.139165
ID1809306600,2015-03-18,11004304.0,CDU/CSU,middle,2.538822
ID1809301400,2015-03-18,11003888.0,Alliance 90/The Greens,middle,0.814827
ID1809402200,2015-03-19,11004393.0,SPD,middle,0.890661
ID1809405500,2015-03-19,11003888.0,Alliance 90/The Greens,middle,1.058134
ID1809400200,2015-03-19,11004183.0,The Left Party,left,-2.757382
ID1809404400,2015-03-19,11003786.0,The Left Party,left,-2.023349
ID1809605000,2015-03-25,11004114.0,The Left Party,left,-0.611998
ID1809709100,2015-03-26,11003756.0,Alliance 90/The Greens,middle,0.268517
ID1809712100,2015-03-26,11004304.0,CDU/CSU,middle,0.651835
ID1809703600,2015-03-26,11004393.0,SPD,middle,0.891339
ID1809711300,2015-03-26,11004114.0,The Left Party,left,-0.152751
ID1809709800,2015-03-26,11003586.0,CDU/CSU,middle,1.940901
ID1809702100,2015-03-26,11004053.0,The Left Party,left,2.687183
ID1809804900,2015-03-27,11003586.0,CDU/CSU,middle,0.585228
ID1809901400,2015-04-22,11004114.0,The Left Party,left,-0.41049
ID1810012300,2015-04-23,11004304.0,CDU/CSU,middle,2.629976
ID1810104700,2015-04-24,11004454.0,The Left Party,left,1.010563
ID1810102000,2015-04-24,11003888.0,Alliance 90/The Greens,middle,0.335232
ID1810105600,2015-04-24,11004393.0,SPD,middle,0.885528
ID1810105700,2015-04-24,11004393.0,SPD,middle,0.863443
ID1810306500,2015-05-07,11003756.0,Alliance 90/The Greens,middle,1.839833
ID1810304000,2015-05-07,11003756.0,Alliance 90/The Greens,middle,1.143644
ID1810300700,2015-05-07,11003602.0,CDU/CSU,middle,0.430451
ID1810609600,2015-05-21,11004393.0,SPD,middle,1.355791
ID1810605700,2015-05-21,11003756.0,Alliance 90/The Greens,middle,0.997485
ID1810613100,2015-05-21,11003756.0,Alliance 90/The Greens,middle,1.962471
ID1810609000,2015-05-21,11004018.0,CDU/CSU,middle,-0.209482
ID1810613300,2015-05-21,11004336.0,CDU/CSU,middle,2.017394
ID1810613000,2015-05-21,11004114.0,The Left Party,left,1.940816
ID1810611800,2015-05-21,11004114.0,The Left Party,left,0.157331
ID1810602800,2015-05-21,11004053.0,The Left Party,left,2.101116
ID1810801400,2015-06-10,11003756.0,Alliance 90/The Greens,middle,1.599542
ID1810803100,2015-06-10,11003756.0,Alliance 90/The Greens,middle,1.359959
ID1810800600,2015-06-10,11004053.0,The Left Party,left,1.660818
ID1810802400,2015-06-10,11004053.0,The Left Party,left,2.194319
ID1810804000,2015-06-10,11004114.0,The Left Party,left,-1.246728
ID1810909800,2015-06-11,11004114.0,The Left Party,left,-0.782507
ID1810906700,2015-06-11,11003888.0,Alliance 90/The Greens,middle,0.746615
ID1810913600,2015-06-11,11004053.0,The Left Party,left,2.657297
ID1810905100,2015-06-11,11004304.0,CDU/CSU,middle,-0.643607
ID1810912000,2015-06-11,11003888.0,Alliance 90/The Greens,middle,1.790614
ID1810906400,2015-06-11,11004261.0,SPD,middle,0.49714
ID1811100200,2015-06-17,11004454.0,The Left Party,left,0.617411
ID1811102500,2015-06-17,11003888.0,Alliance 90/The Greens,middle,1.06165
ID1811212700,2015-06-18,11004304.0,CDU/CSU,middle,2.210902
ID1811210100,2015-06-18,11004304.0,CDU/CSU,middle,0.132964
ID1811203000,2015-06-18,11004304.0,CDU/CSU,middle,-0.774525
ID1811206100,2015-06-18,11003786.0,The Left Party,left,1.102562
ID1811206800,2015-06-18,11004114.0,The Left Party,left,-0.696966
ID1811213700,2015-06-18,11004304.0,CDU/CSU,middle,0.7754
ID1811207300,2015-06-18,11003756.0,Alliance 90/The Greens,middle,2.178718
ID1811208400,2015-06-18,11004114.0,The Left Party,left,-0.245764
ID1811206300,2015-06-18,11003888.0,Alliance 90/The Greens,middle,1.622231
ID1811304100,2015-06-19,11004336.0,CDU/CSU,middle,0.569327
ID1811401800,2015-07-01,11003578.0,Alliance 90/The Greens,middle,0.578793
ID1811404000,2015-07-01,11003888.0,Alliance 90/The Greens,middle,0.173436
ID1811404200,2015-07-01,11003578.0,Alliance 90/The Greens,middle,0.976736
ID1811403200,2015-07-01,11003578.0,Alliance 90/The Greens,middle,-0.317026
ID1811507200,2015-07-02,11004336.0,CDU/CSU,middle,0.54177
ID1811503000,2015-07-02,11003602.0,CDU/CSU,middle,0.698514
ID1811516200,2015-07-02,11004393.0,SPD,middle,2.18096
ID1811501200,2015-07-02,11003756.0,Alliance 90/The Greens,middle,-0.408044
ID1811515000,2015-07-02,11004053.0,The Left Party,left,2.584387
ID1811603300,2015-07-03,11004454.0,The Left Party,left,-0.48753
ID1811601400,2015-07-03,11004389.0,SPD,middle,1.281356
ID1811601500,2015-07-03,11003888.0,Alliance 90/The Greens,middle,0.579711
ID1811602700,2015-07-03,11004454.0,The Left Party,left,0.959524
ID1811600800,2015-07-03,11003578.0,Alliance 90/The Greens,middle,-0.905698
ID1811700600,2015-07-17,11004183.0,The Left Party,left,-2.805906
ID1811706200,2015-07-17,11004114.0,The Left Party,left,-1.696351
ID1811904700,2015-09-08,11004018.0,CDU/CSU,middle,0.463563
ID1811901800,2015-09-08,11003602.0,CDU/CSU,middle,0.249818
ID1811901300,2015-09-08,11004382.0,CDU/CSU,middle,0.27819
ID1812102200,2015-09-10,11004053.0,The Left Party,left,1.95369
ID1812102400,2015-09-10,11003756.0,Alliance 90/The Greens,middle,1.746847
ID1812103900,2015-09-10,11004298.0,CDU/CSU,middle,0.429046
ID1812103000,2015-09-10,11003786.0,The Left Party,left,-0.122623
ID1812103600,2015-09-10,11003888.0,Alliance 90/The Greens,middle,0.66577
ID1812105500,2015-09-10,11004393.0,SPD,middle,0.097307
ID1812407300,2015-09-24,11004389.0,SPD,middle,1.282064
ID1812411400,2015-09-24,11004304.0,CDU/CSU,middle,-0.66982
ID1812408500,2015-09-24,11004336.0,CDU/CSU,middle,0.505727
ID1812407000,2015-09-24,11003578.0,Alliance 90/The Greens,middle,0.815435
ID1812400200,2015-09-24,11004183.0,The Left Party,left,-2.104952
ID1812410500,2015-09-24,11004114.0,The Left Party,left,-0.342181
ID1812410000,2015-09-24,11004053.0,The Left Party,left,2.546013
ID1812504300,2015-09-25,11004336.0,CDU/CSU,middle,-0.298524
ID1812500200,2015-09-25,11004454.0,The Left Party,left,0.252502
ID1812500500,2015-09-25,11003602.0,CDU/CSU,middle,-0.465065
ID1812705700,2015-10-01,11003786.0,The Left Party,left,-2.561178
ID1812705200,2015-10-01,11003786.0,The Left Party,left,0.331582
ID1812704900,2015-10-01,11003786.0,The Left Party,left,-0.020924
ID1812708200,2015-10-01,11003888.0,Alliance 90/The Greens,middle,2.277117
ID1812705400,2015-10-01,11003888.0,Alliance 90/The Greens,middle,-0.265648
ID1812706600,2015-10-01,11004304.0,CDU/CSU,middle,0.356736
ID1812803000,2015-10-02,11004053.0,The Left Party,left,2.311868
ID1812802500,2015-10-02,11003578.0,Alliance 90/The Greens,middle,0.348954
ID1812802800,2015-10-02,11004389.0,SPD,middle,0.507567
ID1812901700,2015-10-14,11004053.0,The Left Party,left,0.843004
ID1812902900,2015-10-14,11004053.0,The Left Party,left,1.986575
ID1812903500,2015-10-14,11003756.0,Alliance 90/The Greens,middle,2.355646
ID1812902100,2015-10-14,11003756.0,Alliance 90/The Greens,middle,1.24322
ID1813012000,2015-10-15,11003578.0,Alliance 90/The Greens,middle,0.137349
ID1813009500,2015-10-15,11004304.0,CDU/CSU,middle,-0.654412
ID1813013500,2015-10-15,11004304.0,CDU/CSU,middle,2.040578
ID1813004100,2015-10-15,11004393.0,SPD,middle,0.310791
ID1813000200,2015-10-15,11004183.0,The Left Party,left,-2.511292
ID1813004600,2015-10-15,11004393.0,SPD,middle,1.265279
ID1813102800,2015-10-16,11004114.0,The Left Party,left,-0.399275
ID1813205000,2015-11-04,11004393.0,SPD,middle,1.841091
ID1813311200,2015-11-05,11004114.0,The Left Party,left,1.68807
ID1813301600,2015-11-05,11003756.0,Alliance 90/The Greens,middle,2.133399
ID1813309300,2015-11-05,11003756.0,Alliance 90/The Greens,middle,1.603534
ID1813305800,2015-11-05,11003602.0,CDU/CSU,middle,0.427845
ID1813300600,2015-11-05,11004454.0,The Left Party,left,1.147508
ID1813303200,2015-11-05,11003578.0,Alliance 90/The Greens,middle,1.146964
ID1813305200,2015-11-05,11004336.0,CDU/CSU,middle,0.46298
ID1813401400,2015-11-06,11003756.0,Alliance 90/The Greens,middle,-0.920774
ID1813611600,2015-11-12,11003578.0,Alliance 90/The Greens,middle,1.113766
ID1813613500,2015-11-12,11003756.0,Alliance 90/The Greens,middle,4.012772
ID1813610500,2015-11-12,11004053.0,The Left Party,left,2.890372
ID1813605500,2015-11-12,11003888.0,Alliance 90/The Greens,middle,2.256302
ID1813605300,2015-11-12,11003786.0,The Left Party,left,0.806346
ID1813700200,2015-11-13,11004454.0,The Left Party,left,0.345179
ID1813704900,2015-11-13,11004336.0,CDU/CSU,middle,1.076476
ID1813704000,2015-11-13,11003756.0,Alliance 90/The Greens,middle,1.652084
ID1813802700,2015-11-24,11004018.0,CDU/CSU,middle,0.336494
ID1813802000,2015-11-24,11003602.0,CDU/CSU,middle,-0.184129
ID1813904900,2015-11-25,11004114.0,The Left Party,left,-1.518677
ID1814004000,2015-11-26,11004389.0,SPD,middle,-0.156153
ID1814003900,2015-11-26,11004298.0,CDU/CSU,middle,1.370322
ID1814002100,2015-11-26,11003602.0,CDU/CSU,middle,0.508915
ID1814102200,2015-11-27,11004382.0,CDU/CSU,middle,-0.464966
ID1814201100,2015-12-02,11004114.0,The Left Party,left,-0.807574
ID1814309100,2015-12-03,11004393.0,SPD,middle,0.863666
ID1814305600,2015-12-03,11004018.0,CDU/CSU,middle,-0.738257
ID1814406200,2015-12-04,11004261.0,SPD,middle,0.151433
ID1814403700,2015-12-04,11004336.0,CDU/CSU,middle,2.059366
ID1814400600,2015-12-04,11004183.0,The Left Party,left,-2.33749
ID1814409200,2015-12-04,11004389.0,SPD,middle,-0.45588
ID1814401500,2015-12-04,11003786.0,The Left Party,left,-0.573202
ID1814610800,2015-12-17,11004393.0,SPD,middle,0.874536
ID1814600600,2015-12-17,11004053.0,The Left Party,left,1.825687
ID1814603100,2015-12-17,11003786.0,The Left Party,left,-0.803002
ID1814610000,2015-12-17,11003756.0,Alliance 90/The Greens,middle,1.816749
ID1814610200,2015-12-17,11003756.0,Alliance 90/The Greens,middle,0.778982
ID1814600400,2015-12-17,11003756.0,Alliance 90/The Greens,middle,1.70091
ID1814613000,2015-12-17,11004336.0,CDU/CSU,middle,2.340025
ID1814606900,2015-12-17,11003888.0,Alliance 90/The Greens,middle,1.731533
ID1814702900,2015-12-18,11003756.0,Alliance 90/The Greens,middle,2.615084
ID1814701400,2015-12-18,11003578.0,Alliance 90/The Greens,middle,0.253823
ID1814701500,2015-12-18,11004389.0,SPD,middle,0.425763
ID1814802900,2016-01-13,11004053.0,The Left Party,left,1.455886
ID1814800200,2016-01-13,11003786.0,The Left Party,left,-0.812056
ID1814909300,2016-01-14,11004053.0,The Left Party,left,0.21199
ID1814909000,2016-01-14,11004114.0,The Left Party,left,1.429721
ID1814904900,2016-01-14,11004114.0,The Left Party,left,-1.100054
ID1814909500,2016-01-14,11004053.0,The Left Party,left,-1.502416
ID1814900200,2016-01-14,11004053.0,The Left Party,left,2.531968
ID1815001800,2016-01-15,11004393.0,SPD,middle,1.988788
ID1815104100,2016-01-27,11003888.0,Alliance 90/The Greens,middle,0.814534
ID1815205400,2016-01-28,11004389.0,SPD,middle,1.235591
ID1815207000,2016-01-28,11003756.0,Alliance 90/The Greens,middle,2.689334
ID1815211600,2016-01-28,11004304.0,CDU/CSU,middle,1.854931
ID1815205700,2016-01-28,11003578.0,Alliance 90/The Greens,middle,-0.229363
ID1815208200,2016-01-28,11003756.0,Alliance 90/The Greens,middle,2.425242
ID1815207500,2016-01-28,11003756.0,Alliance 90/The Greens,middle,2.369833
ID1815205100,2016-01-28,11003888.0,Alliance 90/The Greens,middle,-2.057784
ID1815204000,2016-01-28,11004018.0,CDU/CSU,middle,-0.513057
ID1815303000,2016-01-29,11004053.0,The Left Party,left,1.466584
ID1815303800,2016-01-29,11004393.0,SPD,middle,1.620118
ID1815304300,2016-01-29,11003756.0,Alliance 90/The Greens,middle,2.522479
ID1815305100,2016-01-29,11004393.0,SPD,middle,1.209155
ID1815400200,2016-02-17,11004183.0,The Left Party,left,-3.191094
ID1815508800,2016-02-18,11003888.0,Alliance 90/The Greens,middle,1.240623
ID1815501300,2016-02-18,11003786.0,The Left Party,left,-2.489478
ID1815831100,2016-02-25,11003578.0,Alliance 90/The Greens,middle,1.006527
ID18158110600,2016-02-25,11004304.0,CDU/CSU,middle,2.678186
ID18158109900,2016-02-25,11004261.0,SPD,middle,1.964591
ID18158106500,2016-02-25,11004261.0,SPD,middle,2.343581
ID18158108200,2016-02-25,11004389.0,SPD,middle,0.584275
ID1815831700,2016-02-25,11004389.0,SPD,middle,0.265116
ID1815831300,2016-02-25,11003578.0,Alliance 90/The Greens,middle,1.138106
ID1815909300,2016-02-26,11004053.0,The Left Party,left,2.233992
ID1815910300,2016-02-26,11003756.0,Alliance 90/The Greens,middle,1.667142
ID1815914400,2016-02-26,11004393.0,SPD,middle,2.010762
ID1815912300,2016-02-26,11004336.0,CDU/CSU,middle,0.774431
ID1815913600,2016-02-26,11004393.0,SPD,middle,1.362523
ID1816102800,2016-03-17,11004454.0,The Left Party,left,-0.021018
ID1816102600,2016-03-17,11004454.0,The Left Party,left,0.75386
ID1816106000,2016-03-17,11003756.0,Alliance 90/The Greens,middle,2.114914
ID1816110600,2016-03-17,11003578.0,Alliance 90/The Greens,middle,-0.67406
ID1816106700,2016-03-17,11004114.0,The Left Party,left,-0.559513
ID1816100300,2016-03-17,11003602.0,CDU/CSU,middle,0.408707
ID1816105000,2016-03-17,11004304.0,CDU/CSU,middle,1.323949
ID1816102900,2016-03-17,11004261.0,SPD,middle,1.775725
ID1816106900,2016-03-17,11004114.0,The Left Party,left,-1.428896
ID1816201800,2016-03-18,11003756.0,Alliance 90/The Greens,middle,1.408493
ID1816200200,2016-03-18,11004454.0,The Left Party,left,0.864367
ID1816303500,2016-04-13,11004183.0,The Left Party,left,-0.991058
ID1816406500,2016-04-14,11004304.0,CDU/CSU,middle,0.379035
ID1816409000,2016-04-14,11004018.0,CDU/CSU,middle,-0.153936
ID1816405500,2016-04-14,11004114.0,The Left Party,left,-0.147823
ID1816407500,2016-04-14,11004114.0,The Left Party,left,-1.212571
ID1816501400,2016-04-15,11003786.0,The Left Party,left,-1.012323
ID1816502100,2016-04-15,11003786.0,The Left Party,left,1.157526
ID1816501600,2016-04-15,11003888.0,Alliance 90/The Greens,middle,0.742174
ID1816504500,2016-04-15,11003578.0,Alliance 90/The Greens,middle,-1.372967
ID1816505300,2016-04-15,11004298.0,CDU/CSU,middle,-0.442542
ID1816601800,2016-04-27,11003756.0,Alliance 90/The Greens,middle,1.749069
ID1816603600,2016-04-27,11003756.0,Alliance 90/The Greens,middle,1.031375
ID1816600200,2016-04-27,11004053.0,The Left Party,left,2.978938
ID1816602800,2016-04-27,11004053.0,The Left Party,left,2.247872
ID1816708700,2016-04-28,11003578.0,Alliance 90/The Greens,middle,-0.231347
ID1816709200,2016-04-28,11003756.0,Alliance 90/The Greens,middle,2.68493
ID1816717600,2016-04-28,11004261.0,SPD,middle,2.55902
ID1816703000,2016-04-28,11004304.0,CDU/CSU,middle,0.123845
ID1816703900,2016-04-28,11003578.0,Alliance 90/The Greens,middle,-2.345871
ID1816704400,2016-04-28,11003888.0,Alliance 90/The Greens,middle,-0.270006
ID1816718700,2016-04-28,11003578.0,Alliance 90/The Greens,middle,1.050682
ID1816704000,2016-04-28,11004389.0,SPD,middle,-0.096997
ID1816702100,2016-04-28,11004389.0,SPD,middle,0.483438
ID1816802100,2016-04-29,11003786.0,The Left Party,left,-1.086767
ID1816802800,2016-04-29,11004393.0,SPD,middle,1.225112
ID1816904700,2016-05-11,11004183.0,The Left Party,left,-1.938652
ID1817008800,2016-05-12,11004389.0,SPD,middle,0.38105
ID1817008700,2016-05-12,11003578.0,Alliance 90/The Greens,middle,-0.626823
ID1817008900,2016-05-12,11003578.0,Alliance 90/The Greens,middle,-0.743427
ID1817103000,2016-05-13,11003756.0,Alliance 90/The Greens,middle,0.663724
ID1817205500,2016-06-01,11004393.0,SPD,middle,0.930008
ID1817205000,2016-06-01,11003602.0,CDU/CSU,middle,-0.228525
ID1817303100,2016-06-02,11003578.0,Alliance 90/The Greens,middle,0.273302
ID1817314600,2016-06-02,11003888.0,Alliance 90/The Greens,middle,1.307445
ID1817309000,2016-06-02,11004304.0,CDU/CSU,middle,2.675663
ID1817310900,2016-06-02,11004393.0,SPD,middle,0.266794
ID1817301600,2016-06-02,11004336.0,CDU/CSU,middle,0.845747
ID1817303700,2016-06-02,11004389.0,SPD,middle,0.58752
ID1817310000,2016-06-02,11004053.0,The Left Party,left,0.854811
ID1817403300,2016-06-03,11003786.0,The Left Party,left,0.066052
ID1817403500,2016-06-03,11003578.0,Alliance 90/The Greens,middle,0.441435
ID1817403800,2016-06-03,11003786.0,The Left Party,left,-0.833898
ID1817402200,2016-06-03,11003756.0,Alliance 90/The Greens,middle,1.945067
ID1817602100,2016-06-09,11004304.0,CDU/CSU,middle,0.198813
ID1817609200,2016-06-09,11003756.0,Alliance 90/The Greens,middle,2.8373
ID1817602500,2016-06-09,11004053.0,The Left Party,left,2.262522
ID1817602900,2016-06-09,11004053.0,The Left Party,left,1.161335
ID1817612600,2016-06-09,11004393.0,SPD,middle,1.599495
ID1817613000,2016-06-09,11004393.0,SPD,middle,1.408261
ID1817700600,2016-06-10,11004304.0,CDU/CSU,middle,1.558249
ID1817701000,2016-06-10,11004053.0,The Left Party,left,1.262112
ID1817701200,2016-06-10,11003756.0,Alliance 90/The Greens,middle,0.48878
ID1817911400,2016-06-23,11004393.0,SPD,middle,0.828184
ID1817910700,2016-06-23,11004114.0,The Left Party,left,0.940993
ID1817913700,2016-06-23,11004114.0,The Left Party,left,-0.654857
ID1817908800,2016-06-23,11003786.0,The Left Party,left,-1.183356
ID1817910500,2016-06-23,11004393.0,SPD,middle,1.896297
ID1817908000,2016-06-23,11004018.0,CDU/CSU,middle,-0.721156
ID1817900400,2016-06-23,11003756.0,Alliance 90/The Greens,middle,1.669924
ID1817914500,2016-06-23,11004393.0,SPD,middle,1.840789
ID1817909000,2016-06-23,11003888.0,Alliance 90/The Greens,middle,1.183977
ID1817910900,2016-06-23,11004114.0,The Left Party,left,1.115935
ID1818005500,2016-06-24,11004304.0,CDU/CSU,middle,-1.354019
ID1818002300,2016-06-24,11004393.0,SPD,middle,0.901259
ID1818003200,2016-06-24,11003786.0,The Left Party,left,-1.108584
ID1818000600,2016-06-24,11004183.0,The Left Party,left,-0.765334
ID1818003900,2016-06-24,11004393.0,SPD,middle,0.862247
