id,actor,date,party,leaning,emi_w2vparliament
550449929760813056,actor_T34,2015-01-01,The Left Party,left,0.91238
550570090031513600,actor_T13,2015-01-01,CDU/CSU,middle,0.747319
550600951250563072,actor_T27,2015-01-01,CDU/CSU,middle,-0.518975
550681492628971520,actor_T12,2015-01-01,CDU/CSU,middle,-0.016873
550754170467532800,actor_T15,2015-01-01,SPD,middle,0.501221
550777232386699265,actor_T09,2015-01-01,The Left Party,left,-1.028241
550964810247315456,actor_T23,2015-01-02,SPD,middle,0.706104
550974956616839168,actor_T29,2015-01-02,The Left Party,left,0.233891
551827625430482944,actor_T26,2015-01-04,CDU/CSU,middle,0.025141
552788016742535168,actor_T07,2015-01-07,CDU/CSU,middle,0.034183
553107233727590400,actor_T10,2015-01-08,SPD,middle,-0.364688
553303497392029698,actor_T06,2015-01-08,The Left Party,left,0.088044
555028955645116417,actor_T26,2015-01-13,CDU/CSU,middle,0.908388
555495394881601536,actor_T27,2015-01-14,CDU/CSU,middle,-0.646957
556054681731207168,actor_T09,2015-01-16,The Left Party,left,-0.005555
556092549430280193,actor_T29,2015-01-16,The Left Party,left,-0.250994
556151862358179840,actor_T12,2015-01-16,CDU/CSU,middle,0.059803
557985083865317377,actor_T34,2015-01-21,The Left Party,left,0.037981
558353377655263232,actor_T28,2015-01-22,FDP,middle,0.336768
559050629633413120,actor_T12,2015-01-24,CDU/CSU,middle,0.155737
559257899411578880,actor_T29,2015-01-25,The Left Party,left,-0.494641
559752887388360704,actor_T13,2015-01-26,CDU/CSU,middle,0.848613
559789919397511170,actor_T27,2015-01-26,CDU/CSU,middle,-0.084846
560170896535851008,actor_T26,2015-01-27,CDU/CSU,middle,-0.05509
560517850042208258,actor_T09,2015-01-28,The Left Party,left,-0.664927
560529408340279297,actor_T12,2015-01-28,CDU/CSU,middle,0.679927
561831944187809792,actor_T09,2015-02-01,The Left Party,left,-0.773802
562627425419681792,actor_T06,2015-02-03,The Left Party,left,-1.099162
562732496346169348,actor_T12,2015-02-03,CDU/CSU,middle,0.659548
