id,text
0_testing,"Die Daten unserer umfangreichen Studien zeigen klar, dass Investitionen in erneuerbare Energien nicht nur die CO₂-Emissionen bis 2030 um 40 % reduzieren können, sondern auch 250.000 neue Arbeitsplätze schaffen werden, wie aus dem Bericht des Bundesumweltamts hervorgeht."
1_testing,"Wir müssen uns die Frage stellen, ob wir weiterhin auf kurzfristige Lösungen setzen oder ob wir den Mut haben, einen Weg zu gehen, von dem wir alle tief im Inneren wissen, dass er langfristig das Beste für unsere Gesellschaft ist."
1080506,"Der Prospekt empfiehlt ein Buch, betitelt: Liebe und Ehe usw. Es sind daraufhin Recherchen an der Anstalt angestellt worden, und es hat sich dabei herausgestellt, daß an eine ganze Reihe von Gymnasiasten, auch der unteren Klassen, dieser oder ein ähnlicher Prospekt versandt worden ist —— wahrscheinlich wohl an sämtliche Schüler des Gymnasiums, jedoch hat dies nicht festgestellt werden können."
761035,"Herr Minister Röttgen, Sie haben vorhin darauf hingewiesen, dass Sie bei der Erarbeitung eines Endlagersuchgesetzes wissenschaftliche Kriterien zugrunde legen wollen. Außerdem haben Sie ausgeführt, dass Sie diese Kriterien schon dargelegt haben. Ich kann mich, ehrlich gesagt, nicht genau daran erinnern, wo Sie die dargelegt haben. Vor dem Hintergrund dieser wissenschaftlichen Kriterien und der Debatte um Bergbarkeit und Rückholbarkeit möchte ich Sie fragen: Wie bewerten Sie die Vorschläge aus Niedersachsen - in diesem Fall konkret die Vorschläge des dortigen Umweltministers Sander, der der FDP angehört -, die Castorbehälter in Bunkern zu lagern und perspektivisch auch eine Endlagerung in Bunkern vorzunehmen?"
1073222,"Meine Herren, inzwischen haben Erhebungen in dieser Angelegenheit stattgefunden, und ich darf, wenn auch die Konlmission für Arbeiterstatistik in ihrem schließlichen Votum nicht für die vollständige Aufhebung der Kon kurrenzklausel eintritt, doch aus dem Bericht der Kom mission für Arbeiterstatistik Seite 27 konstatiren, daß dort festgestellt wird, daß die weit überwiegende Anzahl der Auskunftspersonen, Prinzipale und Gehilfen die Kon kurrenzklausel für eine Abmachung erklärten, die dem Fortkommen des Handlungsgehilfen hinderlich, im Interesse des Prinzipals nicht nothwendig sei, und in Folge dessen den Erlaß einer gesetzlichen Bestimmung befürworteten, wonach die Konkurrenzklausel als rechtsungiltig anzu sehen sei."
1067354,"Und als wir wiederholt baten, er möchte uns doch sagen, wie er zu dieser Behauptung käme, welche Beweise er dafür besäße, da hüllte er sich in Schweigen und zwang uns dadurch, ihn öffentlich zu beschuldigen, daß er Lügen und Verleumdungen in die Welt gesetzt hätte."
1075514,"Fch möchte den Herrn Rcichsinnenministcr fragen, wo er bisher diese Wurzeln gefunden hat, wo diese Begeiste rung in der deutsche» Arbeiterschaft bisher anläßlich der Verfassnngsfeier», die nach dem Kollegen Bell einen tiefe» Eindruck auf die anwesenden Negicrnngsvertretcr usw. gemacht haben, gewesen ist, wo die Begeisterung der deutschen Arbeiterschaft für dieses Verfassuiigswcrk und für diese Republik ist?"
302806,"Herr Kollege, Ihre Frage freut mich deshalb so besonders, weil sie eine Antwort auf die Frage gibt, die von einem anderen Ihrer Kollegen an uns gestellt worden ist, nämlich auf die Frage, wie es sich mit den Koalitionszwängen in Frankreich verhält. Vielleicht überlegen Sie sich in diesem Zusammenhang, was das für die dortigen Koalitionen heißt. Dann werden Sie vielleicht ein bißchen ehrlicher mit Vorwürfen in punkto Volksfront umgehen können. ({0})"
1066466,"An sicht, daß durch die Commission die finanziellen Kräfte des Hauses herangezogen, daß dieselben durch die specielle Berathung der einzelnen Positionen des Budgets so recht in die Lage ge setzt werden, für das Haus Unterlagen vorzuarbeiten, bei deren Vorhandensein es allen Mitgliedern leichter sein wird, einen Entschluß zu fassen, als wenn man von der Rednerbühne aus Zahlen und Summen vortragen hört, deren specielle Aufstellun gen von den einzelnen Mitgliedern vom Platze aus wenig oder gar nicht geprüft werden können."
1068974,"gut, wie das Christenthum auf dem Boden des Judenthums gestanden hat, und wenn einzelne Wissenschaften in unserer Kultur aus verschiedenen heidnischen Wissenschaften sich ent wickelt haben, das Recht aus dem Römischen, die Medizin aus dem Griechischen, so wird man doch nicht leugnen dürfen, daß die modernere Kultur nicht mehr eine spezifisch- christliche, sondern eine allgemein menschliche Ent wickelung genommen hat."
